,propeller_1 rpm [1/min],propeller_1 shaft_power_in [kW],propeller_1 torque_in [N*m],propeller_1 efficiency [-],propeller_1 advance_ratio [-],propeller_1 thrust_coefficient [-],propeller_1 power_coefficient [-],motor_1 efficiency [-],motor_1 torque_out [N*m],motor_1 ac_current_rms_in [A],motor_1 ac_voltage_rms_in [V],inverter_1 modulation_index [-],inverter_1 efficiency [-],inverter_1 dc_current_in [A],inverter_1 diode_temperature [degK],inverter_1 IGBT_temperature [degK],inverter_1 casing_temperature [degK],inverter_1 losses_inverter [W],inverter_1 switching_losses_IGBT [W],inverter_1 switching_losses_diode [W],inverter_1 conduction_losses_IGBT [W],inverter_1 conduction_losses_diode [W],dc_sspc_1 dc_current_in [A],dc_sspc_1 efficiency [-],dc_sspc_1 power_losses [W],dc_sspc_1 dc_voltage_out [V],dc_bus_1 dc_voltage [V],dc_sspc_2 dc_current_in [A],dc_sspc_2 efficiency [-],dc_sspc_2 power_losses [W],dc_sspc_2 dc_voltage_out [V],harness_1 dc_current [A],harness_1 cable_temperature [degK],harness_1 conduction_losses [W],dc_sspc_412 dc_current_in [A],dc_sspc_412 efficiency [-],dc_sspc_412 power_losses [W],dc_sspc_412 dc_voltage_out [V],dc_bus_2 dc_voltage [V],dc_sspc_1337 dc_current_in [A],dc_sspc_1337 efficiency [-],dc_sspc_1337 power_losses [W],dc_sspc_1337 dc_voltage_out [V],dc_dc_converter_1 efficiency [-],dc_dc_converter_1 duty_cycle [-],dc_dc_converter_1 dc_current_in [A],dc_dc_converter_1 dc_current_out [A],battery_pack_1 c_rate [1/h],battery_pack_1 state_of_charge [percent],battery_pack_1 open_circuit_voltage [V],battery_pack_1 internal_resistance [ohm],battery_pack_1 voltage_out [V],battery_pack_1 efficiency [-],battery_pack_1 relative_capacity [-],thrust [N],altitude [m],time_step [s],true_airspeed [m/s],exterior_temperature [degK]
0,2000.0,163.2605993735505,779.5119420733845,0.7766111387959351,1.238643246517262,0.07391423599711422,0.1178883029945383,0.9094215722063128,779.5119420733845,533.9122890913593,336.23755395153125,0.5048174471536078,0.9735594092721007,226.04565597061514,347.3517806777082,364.49733628015156,304.40187881782225,4875.563645346683,475.6506149517182,263.33877484045115,47.12314401769861,26.48140708124608,226.04565597061514,0.99,1862.5951623665624,815.7507839843655,823.9906908932985,225.2050372418539,0.99,1874.4126689855123,832.31382918515,225.2050372418539,300.35608787267694,173.67155207813676,225.2050372418539,0.99,1895.1003883901922,833.085,841.5,226.04565597061514,0.99,1921.3880757502288,850.0,0.985274029085734,0.5834826496539048,321.3912035600494,226.04565597061514,0.4796883635224618,100.0,4.12,0.04658934449820123,606.769945873987,0.9785002549735345,0.9824862377151087,1550.0,0.0,500.0,81.8,288.15
1,2000.0,164.01031093249833,783.091551088375,0.7765896118331534,1.253280839895013,0.07338438484301305,0.11842965971966908,0.9090930789822625,783.091551088375,536.3640760879281,336.3590505954921,0.5050023474500145,0.9736050450158272,227.15620985365143,347.57719759184914,364.71051293764964,304.45345525154147,4891.036575462455,476.76174611303617,264.3716681077091,47.41778227727461,26.621566079056027,227.15620985365143,0.99,1871.7367995992224,815.7467642187953,823.9866305240357,226.29524625315528,0.99,1883.4773481186278,832.3097278020563,226.29524625315528,300.4804080099712,175.44041294688324,226.29524625315528,0.99,1904.2744972202934,833.085,841.5,227.15620985365143,0.99,1930.8277837560372,850.0,0.9850562274687281,0.5878688293190204,328.93384648240163,227.15620985365143,0.4909460395259726,93.21889902727747,4.069328058707615,0.05876997137094986,595.9006342506119,0.9751308165060009,0.9819768536136718,1538.888888888889,0.0,500.0,82.76666666666667,288.15
2,2000.0,164.74696465568542,786.6088135301432,0.7764994407835433,1.2679184332727638,0.07285453368891187,0.11896158755562189,0.9087703189438211,786.6088135301432,538.7731599521528,336.47851230967586,0.5051841554243666,0.9736494848051447,228.24821214531113,347.7987333869863,364.92021657762064,304.5041698991971,4906.250969759149,477.8544812676348,265.3864441877851,47.70810129444202,26.759468209996133,228.24821214531113,0.99,1880.7256296896571,815.742807311632,823.982633648113,227.36693363423882,0.99,1892.387927075118,832.3056905536496,227.36693363423882,300.6033172489418,177.18919916892472,227.36693363423882,0.99,1913.2927465321113,833.085,841.5,228.24821214531113,0.99,1940.1098032351447,850.0,0.9848738795471583,0.5913365452149639,335.347966782153,228.24821214531113,0.5005193534061985,86.27505410025755,4.022356872693382,0.06334503440569035,587.421559533737,0.9749396183728138,0.9815546580971288,1527.7777777777778,0.0,500.0,83.73333333333333,288.15
3,2000.0,165.47046769506284,790.063286081911,0.776341956701314,1.2825560266505147,0.0723246825348107,0.11948401945805807,0.9084533351860816,790.063286081911,541.1392370424048,336.59591869600234,0.5053628398384504,0.9736927492817512,229.32148342531184,348.01635783860206,365.1264083079944,304.5540144750627,4921.204342518814,478.9286320801599,266.3829819028554,47.99402315825239,26.895086611867896,229.32148342531184,0.99,1889.560180522334,815.7389141111024,823.9787011223257,228.41993667652338,0.99,1901.1430579107698,832.3017183053795,228.41993667652338,300.7247624799,178.91715508510393,228.41993667652338,0.99,1922.1537671329359,833.085,841.5,229.32148342531184,0.99,1949.2326091151506,850.0,0.9846902754904472,0.5947393582732458,341.7726807919964,229.32148342531184,0.5101084787940244,79.19276109818072,3.9695866220112404,0.06335989787992757,579.1969816868385,0.9765924352957592,0.9811417344432452,1516.6666666666667,0.0,500.0,84.7,288.15
4,2000.0,166.18072712801768,793.4545250708833,0.7761184353620565,1.2971936200282657,0.07179483138070952,0.11999688832879722,0.9081421704605371,793.4545250708833,543.4620034732077,336.7112495110083,0.505538369686205,0.9737348582783618,230.37584451421048,348.2300407116845,365.32904929973824,304.6029807007085,4935.894210212545,479.98401053725695,267.3611599148939,48.27547012065075,27.028394462622618,230.37584451421048,0.99,1898.2389819596995,815.7350854655987,823.9748338036351,229.45409308165424,0.99,1909.7413960860624,832.2978119228637,229.45409308165424,300.84469068366445,180.6235263240286,229.45409308165424,0.99,1930.8561932821121,833.085,841.5,230.37584451421048,0.99,1958.194678370789,850.0,0.9844810648863678,0.5985866278459273,348.9512432072422,230.37584451421048,0.5208227510555854,71.97174528106163,3.907165517119153,0.06138078101588701,570.0106526844789,0.9788239445958864,0.980691995432797,1505.5555555555557,0.0,500.0,85.66666666666667,288.15
5,2000.0,166.87764990399762,796.7820862133992,0.7758300993463488,1.3118312134060164,0.07126498022660833,0.1205001269772756,0.9078368672208497,796.7820862133992,545.7411549406844,336.8244846516229,0.5057107141723989,0.9737758308416962,231.4111164115981,348.4397517459352,365.52810077761234,304.65106030224763,4950.318090674291,481.0204288891208,268.32085664939126,48.55236459845882,27.159364975411023,231.4111164115981,0.99,1906.7605653303185,815.7313222237226,823.9710325492148,230.46924088489018,0.99,1918.1815998258148,832.2939722719341,230.46924088489018,300.96304894591054,182.30756000623396,230.46924088489018,0.99,1939.3986620463425,833.085,841.5,231.4111164115981,0.99,1966.9944894985838,850.0,0.9842358062614437,0.6030482415555809,357.1900603104595,231.4111164115981,0.5331194930006858,64.59567883624057,3.8359996627618993,0.059334784636827606,559.5046029370825,0.9805785508190547,0.9801907290973239,1494.4444444444443,0.0,500.0,86.63333333333333,288.15
6,2000.0,167.56114279343893,800.0455243710817,0.7754781200089065,1.326468806783767,0.07073512907250716,0.12099366808366778,0.9075374676667212,800.0455243710817,547.9763865555354,336.9356041415802,0.505879842692271,0.9738156852543799,232.4271202375555,348.64546064166416,365.72352401154717,304.6982450077358,4964.473502320754,482.03769959427063,269.26195022227193,48.824629176216575,27.28797139403319,232.4271202375555,0.99,1915.1234629437665,815.7276252343207,823.9672982164856,231.465218381783,0.99,1926.4623295063386,832.2902002186723,231.465218381783,301.0797844719752,183.96850495483505,231.465218381783,0.99,1947.7798126826954,833.085,841.5,232.4271202375555,0.99,1975.6305220192216,850.0,0.983956974257763,0.608012665405208,366.3964041557934,232.4271202375555,0.5468603047101394,57.041600652287336,3.7603662742508974,0.058437185053452495,547.9965602832059,0.9810264759655913,0.9796490960600623,1483.3333333333333,0.0,500.0,87.6,288.15
7,2000.0,168.23111233877015,803.2443933168965,0.7750636193396044,1.341106400161518,0.07020527791840599,0.12147744416350689,0.9072440137860056,803.2443933168965,550.1673926828058,337.0445881184201,0.5060457248120629,0.9738544390557897,233.42367717706753,348.847137046305,365.9152803085897,304.74452654471037,4978.357963413125,483.03563526725344,270.18431836969023,49.09218660982277,27.41418698875426,233.42367717706753,0.99,1923.3262076298074,815.7239953465041,823.9636316631355,232.44186405707518,0.99,1934.582247060781,832.2864966294298,232.44186405707518,301.1948446020146,185.60561191119197,232.44186405707518,0.99,1955.9982860402793,833.085,841.5,233.42367717706753,0.99,1984.101256005074,850.0,0.9836576544109205,0.6131756366065085,376.1593296812378,233.42367717706753,0.5614318353451311,49.28853678440889,3.68602313393638,0.05911240015413304,536.2267094770862,0.9796028391767697,0.9790956198543843,1472.2222222222222,0.0,500.0,88.56666666666666,288.15
8,2000.0,168.88746480728065,806.3782455101169,0.7745876717222686,1.355743993539269,0.0696754267643048,0.12195138753365181,0.9069565473951982,806.3782455101169,552.3138667877513,337.15141682103643,0.5062083302503795,0.9738921090618697,234.40060842711898,349.044750541489,366.1033310053668,304.7898966378558,4991.968991356747,484.0140486290086,271.0878383804105,49.35495983091911,27.537985052452925,234.40060842711898,0.99,1931.367332299568,815.7204334096591,823.9600337471304,233.39901651664337,0.99,1942.5400154100967,832.2828623708388,233.39901651664337,301.3081768266299,187.21813375723465,233.39901651664337,0.99,1964.0527239875455,833.085,841.5,234.40060842711898,0.99,1992.4051716305114,850.0,0.983355683141433,0.6181863987338158,385.93673001813846,234.40060842711898,0.576024970176326,41.32438678550154,3.617405968616862,0.060870442572964735,524.9917906215042,0.9761321807853451,0.9785624175267256,1461.111111111111,0.0,500.0,89.53333333333333,288.15
9,2000.0,169.53010614566284,809.4466318792784,0.7740513055967148,1.37038158691702,0.06914557561020362,0.12241543027946258,0.9066751101784248,809.4466318792784,554.415501287177,337.2560705777306,0.5063676288603156,0.973928711383949,235.35773514621806,349.23827063062066,366.2876374610207,304.83434700678373,5005.304102035128,484.9727524596451,271.9723870305011,49.61287195196823,27.659338897073695,235.35773514621806,0.99,1939.2453695268823,815.7169402734448,823.956505326712,234.33651442100233,0.99,1950.3342979067875,832.2792983098101,234.33651442100233,301.41972880280423,188.8053257422229,234.33651442100233,0.99,1971.9417688527262,833.085,841.5,235.35773514621806,0.99,2000.5407487428536,850.0,0.9830596338527748,0.622904320237365,395.4743747199477,235.35773514621806,0.5902602607760413,33.14877461737325,3.553402241304598,0.06215577321521641,514.5745745350478,0.9709943548478679,0.978062172947917,1450.0,0.0,500.0,90.5,288.15
