x; y
155.7632696;11.03827908
268.6916779;11.03827908
377.7258864;11.03827908
486.7602732;11.03827908
595.7944817;17.83114993
712.6169116;17.83114993
813.8630769;17.83114993
938.47355;17.83114993
1035.825694;17.83114993
1156.542145;17.83114993
1265.576354;17.83114993
1382.398784;28.02037846
1487.538971;28.6238653
1596.573357;28.6238653
1697.819344;34.81309383
1826.324017;34.81309383
1927.570361;34.81309383
2048.286634;38.20960699
2145.638778;48.39883552
2258.567008;55.19155089
2367.601395;58.58806405
2484.423825;65.38077942
2593.458211;72.17365026
2714.174485;75.57000795
2803.738585;82.36287879
2924.454858;82.36287879
3025.701202;85.75923648
3154.205875;102.7413359
3247.663819;102.7413359
3372.274292;109.5342067
3477.414479;116.3269221
3594.236909;123.1197929
3695.482896;126.5161506
3820.093725;126.5161506
3917.445513;136.7053791
4026.479899;136.7053791
4143.302329;146.8946077
4256.230559;157.0838362
4361.370746;157.0838362
4482.087376;160.4803493
4579.43952;163.876707
4688.473639;174.0659356
4809.190269;177.4622932
4914.330456;184.2551641
