293K_X,293K_Y,303K_X,303K_Y,313K_X,313K_Y,323K_X,323K_Y,333K_X,333K_Y
0.09090909090909091,88.51239669421489,0.08868274582560298,62.066115702479344,0.08645640074211502,44.876033057851245,0.0653061224489796,41.90082644628099,0.0953617810760668,33.801652892561975
0.19220779220779222,61.404958677685954,0.18998144712430426,46.36363636363636,0.18664192949907232,37.10743801652892,0.1699443413729128,32.97520661157024,0.19666048237476813,30.495867768595033
0.29239332096474957,57.107438016528924,0.29128014842300554,44.21487603305785,0.28905380333951763,36.11570247933885,0.273469387755102,31.983471074380162,0.2990723562152134,29.83471074380165
0.3936920222634508,55.78512396694215,0.39146567717996295,43.719008264462815,0.390352504638219,35.78512396694214,0.3769944341372914,32.14876033057851,0.3981447124304267,30.16528925619835
0.4938775510204082,55.6198347107438,0.49276437847866417,43.553719008264466,0.49165120593692024,35.9504132231405,0.48051948051948057,32.14876033057851,0.4972170686456401,30.330578512396684
0.5951762523191095,53.63636363636364,0.5929499072356216,42.56198347107437,0.5929499072356216,35.45454545454545,0.5840445269016699,31.818181818181813,0.5985157699443414,30
0.6964749536178108,53.63636363636364,0.6953617810760668,42.89256198347108,0.6942486085343229,36.11570247933885,0.688682745825603,32.31404958677686,0.6987012987012988,30.330578512396684
0.7977736549165122,53.80165289256199,0.7966604823747683,43.05785123966942,0.7955473098330241,35.9504132231405,0.7910946196660483,32.479338842975196,0.7977736549165122,30.495867768595033
0.8979591836734696,52.97520661157024,0.8979591836734696,42.231404958677686,0.8968460111317255,34.958677685950406,0.8935064935064935,31.818181818181813,0.8990723562152135,29.83471074380165
0.9992578849721708,55.6198347107438,0.9981447124304269,44.54545454545455,0.9981447124304269,36.11570247933885,1.0003710575139149,32.31404958677686,0.9981447124304269,30.16528925619835
