Max. Cont. Shaft Power (kW),Dry Spec. Weight (kg),Overall Diameter (mm),Overall Length (mm)
559,152,596,1572
354,156,584,1572
373,156,584,1572
447,163,596,1572
503,163,596,1341
459,156,584,1572
559,157,584,1572
559,157,584,1572
647,189,727,1629
671,175,579,1629
647,175,579,1629
634,190,464,1688
634,190,464,1688
634,190,464,1688
760,202,464,1845
761,202,464,1845
760,208,464,1845
634,204,464,1696
783,221,464,1831
634,201,464,1696
708,206,464,1770
910,227,464,1900
910,227,464,1900
875,225,464,1900
828,235,477,1870
895,206.8,466.1,1771.7
895,229.5,466.1,1888.5
895,229.5,466.1,1888.5
906,233.6,466.1,1913.1
910,241.3,466.1,1921.5
910,206.8,466.1,1767.3
910,234.5,466.1,1921.5
910,233.5,466.1,1888.5
522,235.8,466.1,1921.5
634,206.8,466.1,1777
895,233.6,466.1,1913.1
634,206.8,466.1,1777
709,206.8,466.1,1771.7
1268,259.3,466.1,1913.1
895,251.2,466.1,1921.5
895,270.3,481.8,1870.9
667,241.8,481.8,1726.8
